id;name;latitude;longitude;country;population
0;Sant Julià de Lòria;42.46372;1.49129;AD;8022
1;Ordino;42.55623;1.53319;AD;3066
2;les Escaldes;42.50729;1.53414;AD;15853
3;la Massana;42.54499;1.51483;AD;7211
4;Encamp;42.53474;1.58014;AD;11223
5;Canillo;42.5676;1.59756;AD;3292
6;Andorra la Vella;42.50779;1.52109;AD;20430
7;Umm Al Quwain City;25.56473;55.55517;AE;62747
8;Ras Al Khaimah City;25.78953;55.9432;AE;351943
9;Muzayri‘;23.14355;53.7881;AE;10000
10;Zayed City;23.65416;53.70522;AE;63482
11;Khawr Fakkān;25.33132;56.34199;AE;40677
12;Dubai;25.0657;55.17128;AE;2956587
13;Dibba Al-Fujairah;25.59246;56.26176;AE;30000
14;Dibba Al-Hisn;25.61955;56.27291;AE;26395
15;Sharjah;25.33737;55.41206;AE;1324473
16;Ar Ruways;24.11028;52.73056;AE;16000
17;Al Fujairah City;25.11641;56.34141;AE;86512
18;Al Ain City;24.19167;55.76056;AE;55091
19;Ajman City;25.40177;55.47878;AE;490035
20;Adh Dhayd;25.28812;55.88157;AE;24716
21;Abu Dhabi;24.46667;54.36667;AE;603492
22;Khalifah A City;24.42588;54.605;AE;85374
23;Bani Yas City;24.30978;54.62944;AE;80498
24;Musaffah;24.35893;54.48267;AE;243341
25;Al Shamkhah City;24.39268;54.70779;AE;61710
26;Reef Al Fujairah City;25.14479;56.24764;AE;82310
27;Abu Dhabi Island and Internal Islands City;24.4511;54.3969;AE;552215
28;Kuhsān;34.65389;61.19778;AF;12087
29;Tukzār;35.94831;66.42132;AF;12021
30;Zindah Jān;34.34264;61.74675;AF;10104
31;Zarghūn Shahr;32.84734;68.44573;AF;13737
32;Zaṟah Sharan;33.14641;68.79213;AF;7366
33;Zaranj;30.95962;61.86037;AF;49851
34;Yangī Qal‘ah;37.46572;69.61131;AF;6541
35;Tīr Pul;34.59431;61.26895;AF;6979
36;Tarinkot;32.62998;65.87806;AF;10000
37;Taloqan;36.73605;69.53451;AF;64256
38;Tagāw-Bāy;35.69941;66.06164;AF;9096
39;Tagāb;34.85501;69.64917;AF;6400
40;Shīnḏanḏ;33.30294;62.1474;AF;29264
41;Shibirghān;36.66757;65.7529;AF;55641
42;Shahrak;34.10737;64.3052;AF;15967
43;Sidqābād;35.02298;69.35112;AF;7407
44;Sar-e Pul;36.21544;65.93249;AF;52121
45;Sangīn;32.07275;64.8359;AF;13579
46;Sang-e Chārak;35.84972;66.43694;AF;15377
47;Aībak;36.26468;68.01551;AF;47823
48;Rūdbār;30.15;62.6;AF;11034
49;Rustāq;37.12604;69.83045;AF;25636
50;Qarqīn;37.41853;66.04358;AF;15018
51;Qarchī Gak;37.03999;66.78891;AF;8942
52;Qarāwul;37.21959;68.7802;AF;24544
53;Qarah Bāgh;34.94023;61.77589;AF;12412
54;Qala i Naw;34.98735;63.12891;AF;9000
55;Qal‘ah-ye Shahr;35.54729;65.5676;AF;7756
56;Qalāt;32.10575;66.90833;AF;12191
57;Pārūn;35.42064;70.92261;AF;1000
58;Pul-e Khumrī;35.94458;68.71512;AF;56369
59;Pul-e ‘Alam;33.99529;69.02274;AF;13247
60;Panjāb;34.38795;67.02327;AF;13471
61;Paghmān;34.58787;68.95091;AF;49157
62;Uruzgān;32.92775;66.63253;AF;13388
63;Nīlī;33.72178;66.13023;AF;0
64;Nahrīn;36.0649;69.13343;AF;22363
65;Mīr Bachah Kōṯ;34.74999;69.11899;AF;5405
66;Mīrābād;30.43624;61.8383;AF;14160
67;Maymana;35.92139;64.78361;AF;75900
68;Mehtar Lām;34.67139;70.20944;AF;17345
69;Mazār-e Sharīf;36.70904;67.11087;AF;303282
70;Lashkar Gāh;31.59382;64.37161;AF;43934
71;Larkird;35.48936;66.66409;AF;11635
72;Kushk;33.29565;61.95221;AF;16952
73;Kunduz;36.72895;68.857;AF;161902
74;Khōst;33.33951;69.92041;AF;96123
75;Khulm;36.69736;67.69826;AF;64933
76;Khāsh;31.52919;62.79055;AF;15133
77;Khandūd;36.95127;72.318;AF;5521
78;Khanabad;36.6825;69.11556;AF;71531
79;Karukh;34.48108;62.5863;AF;17484
80;Kandahār;31.61332;65.71013;AF;391190
81;Kabul;34.52813;69.17233;AF;3043532
82;Jurm;36.86477;70.83421;AF;12106
83;Jalālābād;34.42647;70.45153;AF;200331
84;Jabal os Saraj;35.11833;69.23778;AF;15032
85;Herāt;34.34817;62.19967;AF;272806
86;Ghormach;35.73062;63.78264;AF;30000
87;Ghazni;33.55391;68.42096;AF;141000
88;Gereshk;31.82089;64.57005;AF;43588
89;Gardez;33.59744;69.22592;AF;103601
90;Fayzabad;37.11664;70.58002;AF;44421
91;Farkhār;36.57288;69.85783;AF;10480
92;Farah;32.37451;62.11638;AF;43561
93;Kafir Qala;34.66667;61.06667;AF;18086
94;Imām Şāḩib;37.18897;68.93644;AF;9659
95;Dasht-e Archī;37.13333;69.16667;AF;8263
96;Darzāb;35.97744;65.37828;AF;9642
97;Markaz-e Ḩukūmat-e Darwēshān;31.13231;64.1934;AF;9012
98;Chīras;35.41674;65.98234;AF;12779
99;Charikar;35.01361;69.17139;AF;53676
100;Chahār Burj;34.24475;62.19165;AF;11935
101;Fayrōz Kōh;34.51952;65.25093;AF;15000
102;Bāsawul;34.24749;70.87218;AF;6835
103;Baraki Barak;33.96744;68.9492;AF;22305
104;Bāmyān;34.82156;67.82734;AF;61863
105;Balkh;36.75635;66.8972;AF;114883
106;Baghlān;36.13068;68.70829;AF;108449
107;Ḩukūmatī Azrah;34.17355;69.64573;AF;12526
108;Ārt Khwājah;37.08571;69.47958;AF;18623
109;Āsmār;35.03333;71.35809;AF;15708
