Année de naissance;Code commune;Libellé commune;Sexe;Prénom;Nombre
2018;35238;Rennes;Masculin;Abdoulmalik;1
2018;35238;Rennes;Masculin;Issam;2
2018;35238;Rennes;Masculin;Bilel;1
2018;35238;Rennes;Masculin;Cillian;1
2018;35238;Rennes;Masculin;Cristian;1
2018;35238;Rennes;Masculin;Dann;1
2018;35238;Rennes;Masculin;Kays;4
2018;35238;Rennes;Masculin;Emrys;1
2018;35238;Rennes;Masculin;Lenny;5
2018;35238;Rennes;Masculin;Estéban;1
2018;35238;Rennes;Masculin;Helias;1
2018;35238;Rennes;Masculin;Heyllan;1
2018;35238;Rennes;Masculin;Irmane;1
2018;35238;Rennes;Masculin;Jiuliann;1
2018;35238;Rennes;Masculin;Mayronn;2
2018;35238;Rennes;Masculin;Milan;3
2018;35238;Rennes;Masculin;Kewann;1
2018;35238;Rennes;Masculin;Killiam;1
2018;35238;Rennes;Masculin;Konner;1
2018;35238;Rennes;Masculin;Léni;1
2018;35238;Rennes;Masculin;Léonel;1
2018;35238;Rennes;Masculin;Léophile;1
2018;35238;Rennes;Masculin;Loghan;1
2018;35238;Rennes;Masculin;Lohann;1
2018;35238;Rennes;Masculin;Manech;1
2018;35238;Rennes;Masculin;Manek;1
2018;35238;Rennes;Masculin;Raphaël;42
2018;35238;Rennes;Masculin;Milkyas;1
2018;35238;Rennes;Masculin;Morgann;1
2018;35238;Rennes;Masculin;Mouad;1
2018;35238;Rennes;Masculin;Neil;1
2018;35238;Rennes;Masculin;Shayame;1
2018;35238;Rennes;Masculin;Sihamoni;1
2018;35238;Rennes;Masculin;Silâh;1
2018;35238;Rennes;Masculin;Valentin;11
2018;35238;Rennes;Masculin;Toma;1
2018;35238;Rennes;Masculin;Yaël;1
2018;35238;Rennes;Masculin;Ydris;1
2018;35238;Rennes;Masculin;Ysmael;1
2018;35238;Rennes;Féminin;Ariane;2
2018;35238;Rennes;Féminin;Eléana;2
2018;35238;Rennes;Féminin;Adélaïde;1
2018;35238;Rennes;Féminin;Aëlis;1
2018;35238;Rennes;Féminin;Aëlya;1
2018;35238;Rennes;Féminin;Faustine;8
2018;35238;Rennes;Féminin;Aneiby;1
2018;35238;Rennes;Féminin;Hermione;2
2018;35238;Rennes;Féminin;Chaima;1
2018;35238;Rennes;Féminin;Christine;1
2018;35238;Rennes;Masculin;Abel;8
2018;35238;Rennes;Masculin;Alban;6
2018;35238;Rennes;Masculin;Arthur;59
2018;35238;Rennes;Féminin;Aliénor;6
2018;35238;Rennes;Féminin;Castille;4
2018;35238;Rennes;Masculin;Hicham;1
2018;35238;Rennes;Masculin;Jack;1
2018;35238;Rennes;Masculin;Mathieu;4
2018;35238;Rennes;Masculin;Joam;1
2018;35238;Rennes;Masculin;Kalis;1
2018;35238;Rennes;Masculin;Lansana;1
2018;35238;Rennes;Masculin;Lenn's;1
2018;35238;Rennes;Masculin;Lorenz;1
2018;35238;Rennes;Masculin;Noam;16
2018;35238;Rennes;Masculin;Mame;1
2018;35238;Rennes;Masculin;Mouheb;1
2018;35238;Rennes;Masculin;Od-Erdene;1
2018;35238;Rennes;Masculin;Thibault;2
2018;35238;Rennes;Masculin;Télio;3
2018;35238;Rennes;Masculin;Willyam;1
2018;35238;Rennes;Masculin;Constant;2
2018;35238;Rennes;Masculin;Apollinaire;1
2018;35238;Rennes;Masculin;Aziel;1
