Hex,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16
A0,NBSP,NBSP,NBSP,NBSP,NBSP,NBSP,NBSP,NBSP,NBSP,NBSP,NBSP,NBSP,NBSP,NBSP,NBSP
A1,¡,Ą,Ħ,Ą,Ё,,ʽ,,¡,Ą,ก,"""",Ḃ,¡,Ą
A2,¢,˘,˘,ĸ,Ђ,,ʼ,¢,¢,Ē,ข,¢,ḃ,¢,ą
A3,£,Ł,£,Ŗ,Ѓ,,£,£,£,Ģ,ฃ,£,£,£,Ł
A4,¤,¤,¤,¤,Є,¤,€,¤,¤,Ī,ค,¤,Ċ,€,€
A5,¥,Ľ,,Ĩ,Ѕ,,₯,¥,¥,Ĩ,ฅ,"""",ċ,¥,""""
A6,¦,Ś,Ĥ,Ļ,І,,¦,¦,¦,Ķ,ฆ,¦,Ḋ,Š,Š
A7,§,§,§,§,Ї,,§,§,§,§,ง,§,§,§,§
A8,¨,¨,¨,¨,Ј,,¨,¨,¨,Ļ,จ,Ø,Ẁ,š,š
A9,©,Š,İ,Š,Љ,,©,©,©,Đ,ฉ,©,©,©,©
AA,ª,Ş,Ş,Ē,Њ,,,×,ª,Š,ช,Ŗ,Ẃ,ª,Ș
AB,«,Ť,Ğ,Ģ,Ћ,,«,«,«,Ŧ,ซ,«,ḋ,«,«
AC,¬,Ź,Ĵ,Ŧ,Ќ,،,¬,¬,¬,Ž,ฌ,¬,Ỳ,¬,Ź
AD,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,ญ,SHY,SHY,SHY,SHY
AE,®,Ž,,Ž,Ў,,,®,®,Ū,ฎ,®,®,®,ź
AF,¯,Ż,Ż,¯,Џ,,―,‾,¯,Ŋ,ฏ,Æ,Ÿ,¯,Ż
B0,°,°,°,°,А,,°,°,°,°,ฐ,°,Ḟ,°,°
B1,±,ą,ħ,ą,Б,,±,±,±,ą,ฑ,±,ḟ,±,±
B2,²,˛,²,˛,В,,²,²,²,ē,ฒ,²,Ġ,²,Č
B3,³,ł,³,ŗ,Г,,³,³,³,ģ,ณ,³,ġ,³,ł
B4,´,´,´,´,Д,,΄,´,´,ī,ด,""",""Ṁ",Ž,Ž,
B5,µ,ľ,µ,ĩ,Е,,΅,µ,µ,ĩ,ต,µ,ṁ,µ,""""
B6,¶,ś,ĥ,ļ,Ж,,Ά,¶,¶,ķ,ถ,¶,¶,¶,¶
B7,•,ˇ,•,ˇ,З,,•,•,•,•,ท,•,Ṗ,•,•
B8,¸,¸,¸,¸,И,,Έ,¸,¸,ļ,ธ,ø,ẁ,ž,ž
B9,¹,š,ı,š,Й,,Ή,¹,¹,đ,น,¹,ṗ,¹,č
BA,º,ş,ş,ē,К,,Ί,÷,º,š,บ,ŗ,ẃ,º,ș
BB,»,ť,ğ,ģ,Л,؛,»,»,»,ŧ,ป,»,Ṡ,»,»
BC,¼,ź,ĵ,ŧ,М,,Ό,¼,¼,ž,ผ,¼,ỳ,Œ,Œ
BD,½,˝,½,Ŋ,Н,,½,½,½,―,ฝ,½,Ẅ,œ,œ
BE,¾,ž,,ž,О,,Ύ,¾,¾,ū,พ,¾,ẅ,Ÿ,Ÿ
BF,¿,ż,ż,ŋ,П,؟,Ώ,,¿,ŋ,ฟ,æ,ṡ,¿,ż
C0,À,Ŕ,À,Ā,Р,,ΐ,,À,Ā,ภ,Ą,À,À,À
C1,Á,Á,Á,Á,С,ء,Α,,Á,Á,ม,Į,Á,Á,Á
C2,Â,Â,Â,Â,Т,آ,Β,,Â,Â,ย,Ā,Â,Â,Â
