"name","attack","base_egg_steps","base_happiness","capture_rate","classfication","defense","experience_growth","height_m","hp","percentage_male","pokedex_number","sp_attack","sp_defense","speed","type1","type2","weight_kg","generation","is_legendary"
Swablu,40,5120,70,255.0,Cotton Bird Pokémon,60,600000,0.4,45,333,40,75,50,normal,flying,1.2,3,False
Budew,30,5120,70,255.0,Bud Pokémon,35,1059860,0.2,40,406,50,70,55,grass,poison,1.2,4,False
Minun,40,5120,70,200.0,Cheering Pokémon,50,1000000,0.4,60,312,75,85,95,electric,,4.2,3,False
Metapod,20,3840,70,120.0,Cocoon Pokémon,55,1000000,0.7,50,11,25,25,30,bug,,9.9,1,False
Chikorita,49,5120,70,45.0,Leaf Pokémon,65,1059860,0.9,45,152,49,65,45,grass,,6.4,2,False
Pinsir,155,6400,70,45.0,Stagbeetle Pokémon,120,1250000,1.5,65,127,65,90,105,bug,,55.0,1,False
Cinccino,95,3840,70,60.0,Scarf Pokémon,60,800000,0.5,75,573,65,60,115,normal,,7.5,5,False
Elgyem,55,5120,70,255.0,Cerebral Pokémon,55,1000000,0.5,55,605,85,55,30,psychic,,9.0,5,False
Foongus,55,5120,70,190.0,Mushroom Pokémon,45,1000000,0.2,69,590,55,55,15,grass,poison,1.0,5,False
Ariados,90,3840,70,90.0,Long Leg Pokémon,70,800000,1.1,70,168,60,70,40,bug,poison,33.5,2,False
Aipom,70,5120,70,45.0,Long Tail Pokémon,55,800000,0.8,55,190,40,55,85,normal,,11.5,2,False
Accelgor,70,3840,70,75.0,Shell Out Pokémon,40,1000000,0.8,80,617,100,60,145,bug,,25.3,5,False
Dialga,120,30720,0,3.0,Temporal Pokémon,120,1250000,5.4,100,483,150,100,90,steel,dragon,683.0,4,True
Starly,55,3840,70,255.0,Starling Pokémon,30,1059860,0.3,40,396,30,30,60,normal,flying,2.0,4,False
Ledyba,20,3840,70,255.0,Five Star Pokémon,30,800000,1.0,40,165,40,80,55,bug,flying,10.8,2,False
Politoed,75,5120,70,45.0,Frog Pokémon,75,1059860,1.1,90,186,90,100,70,water,,33.9,2,False
