code_barre,isbn,retour
421921003090881,978-2081358881,2020-04-28
421921003090881,978-2207249123,2020-04-28
421921003090881,978-2824709420,2020-04-28
137332830764072,978-2352879183,2020-02-20
137332830764072,978-2335008586,2020-02-20
137332830764072,978-2013230827,2020-02-20
533299198788609,978-2253174561,2020-02-28
533299198788609,978-2251013039,2020-02-28
917547585216771,978-2290105504,2020-04-07
654834075188732,978-2864973270,2020-02-17
654834075188732,978-2070406340,2020-02-17
654834075188732,978-2806231697,2020-02-17
934701281931582,978-2260019183,2020-01-01
934701281931582,978-2371240087,2020-01-01
035184062854281,978-2745989857,2020-02-18
035184062854281,978-2072762093,2020-02-18
035184062854281,978-2742744824,2020-02-18
