titre,editeur,annee,isbn
Les Aventures de Huckleberry Finn,Flammarion,2020,978-2081509511
Fondation et Empire,Editions Denoël,1999,978-2207249123
Akira,Glénat,2000,978-2723428262
Les Robots,Editions Milan,2017,978-2745989857
Astérix chez les Pictes,Editions Albert René,2013,978-2864972662
Les Monades urbaines,Robert Laffont,2016,978-2221197691
Les Voyages de Gulliver,Primento,2015,978-2335008586
Lolita,Penguin UK,2012,978-0141391601
La Nuit des temps,Presses de la Cité,2014,978-2258116429
Ravage,Editions Gallimard,2014,978-2072534911
Les Lauriers de César,Educa Books,2008,978-2012101500
Niourk,French Pulp éditions,2018,979-1025100639
Le Meilleur des mondes,Plon,2013,978-2259221702
Berlin Alexanderplatz,Editions Gallimard,1933,978-2070219292
Fahrenheit 451,Simon and Schuster,2011,978-1439142677
La Mort d'Ivan Ilitch,Flammarion,2015,978-2081364509
Croisière sans escale,Editions Denoël,1990,978-2207500293
Le Vieil Homme et la Mer,Editions Gallimard,2018,978-2072762093
Mrs Dalloway,Flammarion,2015,978-2081358881
L'Idiot,Les Editions de Londres,2019,978-1911572909
Le Carnet d'or,Le Livre de poche,1980,978-2253025320
Les Grandes Espérances,BoD - Books on Demand,2019,978-2322185801
Astérix et Cléopâtre,Dargaud,1999,978-2012100060
Madame Bovary,UPblisher,2016,978-2759902293
Les Frères Karamazov,Les éditions Pulsio,2016,978-2371131118
Moby Dick,Campfire Graphic Novels,2010,978-8190732673
Demain les chiens,J'ai Lu,2015,978-2290112168
Le Tour de Gaule d'Astérix,Educa Books,2007,978-2012101685
1984,Houghton Mifflin Harcourt,1983,978-0547249643
Don Quichotte,Les éditions Pulsio,2016,978-2371130418
Le Château de Lord Valentin,Robert Laffont,2017,978-2221216361
Le Père Goriot,Primento,2012,978-2806231697
Le Procès,Flammarion,2014,978-2081351981
L'Homme qui rétrécit,Editions Gallimard,2017,978-2072457340
Chroniques martiennes,Editions Gallimard,2016,978-2072455162
Le Roi Lear,Éditions Actes Sud,2015,978-2330052768
Le Cadeau de César,Educa Books,2005,978-2012101531
La Planète des singes,Julliard,2011,978-2260019183
Orgueil et Préjugés,Fleurus,2015,978-2215130475
Une maison de poupée,Éditions Actes Sud,2016,978-2330068349
Vermilion Sands,Carroll & Graf Pub,1988,978-0881844221
La Grande Traversée,Seuil Jeunesse,2014,979-1023500448
L'Étranger,Editions Gallimard,2012,978-2072376429
L'Île des morts,POL Editeur,2010,978-2846825573
Par-delà le mur du sommeil,République des Lettres,2018,978-2824904269
Le Papyrus de César,Editions Albert René,2015,978-2864972716
La Main de Zeï,Bragelonne Classic,2016,978-2820511034
Beloved,Christian Bourgois,2015,978-2267028133
La Conscience de Zeno,République des Lettres,2015,978-2824902371
Delirium Circus,Bragelonne,2013,978-2820508935
Médée,Hatier,2013,978-2218972324
Nostromo,Oxford University Press,2009,978-0199555918
Au carrefour des étoiles,J'ai Lu,1997,978-2277118473
Le Vagabond,BnF collection ebooks,2016,978-2346014453
Les Buddenbrook,LGF/Le Livre de Poche,1993,978-2253063193
Les Métamorphoses,Le Livre de Poche,2011,978-2253158677
Jack Barron et l'Éternité,J'ai Lu,2016,978-2290105504
Hacker's Delight,Addison-Wesley Professional,2003,978-0201914658
Astérix et les Normands,Dargaud,2005,978-2012101418
Le Temps incertain,Robert Laffont,2011,978-2221119709
Astérix en Corse,Dargaud,2005,978-2012101524
Les Fils de la Médina,Arles [France] : Actes sud,2003,978-2742744824
Le Grand secret,Presses de la Cité,2014,978-2258116405
Le Devin,Educa Books,2010,978-2012101517
Le Noir Dessein,Livre de poche,1998,978-2253062820
Astérix légionnaire,Educa Books,2011,978-2012101784
Romancero gitano,Greenbooks editore,2020,978-8832957402
The Practice of Programming,Addison-Wesley Professional,1999,978-0201615869
Crime et Châtiment,Editions Humanis,2012,979-1021900486
La Promenade au phare,LGF/Le Livre de Poche,1983,978-2253031536
L'Homme sans qualités,Contemporary French Fiction,2011,978-2757803691
Le Bruit et la Fureur,Gallimard Education,1972,978-2070361625
Les Plus qu'humains,adsaa,1999,000-0000000162
