annee,isbn
2020,978-2081509511
1999,978-2207249123
2000,978-2723428262
2017,978-2745989857
2013,978-2864972662
2016,978-2221197691
2015,978-2335008586
2012,978-0141391601
2014,978-2258116429
2014,978-2072534911
2008,978-2012101500
2018,979-1025100639
2013,978-2259221702
1933,978-2070219292
2011,978-1439142677
2015,978-2081364509
1990,978-2207500293
2018,978-2072762093
2015,978-2081358881
2019,978-1911572909
1980,978-2253025320
2019,978-2322185801
1999,978-2012100060
2016,978-2759902293
2016,978-2371131118
2010,978-8190732673
2015,978-2290112168
2007,978-2012101685
1983,978-0547249643
2016,978-2371130418
2017,978-2221216361
2012,978-2806231697
2014,978-2081351981
2017,978-2072457340
2016,978-2072455162
2015,978-2330052768
2005,978-2012101531
2011,978-2260019183
2015,978-2215130475
2016,978-2330068349
1988,978-0881844221
2014,979-1023500448
2012,978-2072376429
2010,978-2846825573
2018,978-2824904269
2015,978-2864972716
2016,978-2820511034
2015,978-2267028133
2015,978-2824902371
2013,978-2820508935
2013,978-2218972324
2009,978-0199555918
1997,978-2277118473
2016,978-2346014453
1993,978-2253063193
2011,978-2253158677
2016,978-2290105504
2003,978-0201914658
2005,978-2012101418
2011,978-2221119709
2005,978-2012101524
2003,978-2742744824
2014,978-2258116405
2010,978-2012101517
1998,978-2253062820
2011,978-2012101784
2020,978-8832957402
1999,978-0201615869
2012,979-1021900486
1983,978-2253031536
2011,978-2757803691
1972,978-2070361625
1999,000-0000000162
2012,978-2221128121
1974,978-2070369218
1978,978-2266006095
2017,978-2864973270
2008,978-2864972051
2011,978-2221119693
2000,978-2070406340
2014,978-2371270060
1997,978-0321635747
2000,978-2020403436
2010,978-2757820919
2018,978-2371240087
2016,978-2213703848
1992,978-0785909903
1995,978-2020238113
2009,978-2013230827
2015,978-2290117965
2016,978-2352879183
1993,978-2251013039
1979,000-0000000097
1971,978-2402281775
1994,978-1853262371
2013,978-2290080207
2009,978-2246819554
1974,978-2070366149
2002,978-2012100084
2011,978-2757827413
2014,978-2072535031
2013,978-2072457388
2017,978-2290157268
2018,978-2371240001
1997,978-2020314305
2014,978-1921746864
2014,978-2072487958
2012,978-2092532195
1959,000-0000000069
2012,978-0547728247
2011,978-0132762564
2013,978-2011179043
1972,978-2708701915
2017,978-2331035531
2012,978-2806240187
2010,978-2070402632
2003,978-1101658055
2014,978-2814510012
1990,978-2402282697
2008,978-2012101555
2013,978-2824709420
2012,978-2253174561
1967,978-2402255462
1979,978-2012101562
1971,978-2367881171
2010,978-1153611725
2004,978-2070315017
2011,978-2130592150
