code_barre,isbn,retour,titre,editeur,annee,isbn
421921003090881,978-2081358881,2020-04-28,Mrs Dalloway,Flammarion,2015,978-2081358881
421921003090881,978-2207249123,2020-04-28,Fondation et Empire,Editions Denoël,1999,978-2207249123
421921003090881,978-2824709420,2020-04-28,Le Journal d'un fou,Bibebook,2013,978-2824709420
137332830764072,978-2352879183,2020-02-20,Guerre et Paix,Archipoche,2016,978-2352879183
137332830764072,978-2335008586,2020-02-20,Les Voyages de Gulliver,Primento,2015,978-2335008586
137332830764072,978-2013230827,2020-02-20,Gargantua et Pantagruel,Livre de Poche Jeunesse,2009,978-2013230827
533299198788609,978-2253174561,2020-02-28,Les Hauts de Hurlevent,Le Livre de Poche,2012,978-2253174561
533299198788609,978-2251013039,2020-02-28,Énéide,Belles Lettres,1993,978-2251013039
917547585216771,978-2290105504,2020-04-07,Jack Barron et l'Éternité,J'ai Lu,2016,978-2290105504
654834075188732,978-2864973270,2020-02-17,Astérix et la Transitalique,Editions Albert René,2017,978-2864973270
654834075188732,978-2070406340,2020-02-17,Les Contes de Canterbury,Gallimard Education,2000,978-2070406340
654834075188732,978-2806231697,2020-02-17,Le Père Goriot,Primento,2012,978-2806231697
934701281931582,978-2260019183,2020-01-01,La Planète des singes,Julliard,2011,978-2260019183
934701281931582,978-2371240087,2020-01-01,Anna Karénine,Bibliothèque russe et slave,2018,978-2371240087
035184062854281,978-2745989857,2020-02-18,Les Robots,Editions Milan,2017,978-2745989857
035184062854281,978-2072762093,2020-02-18,Le Vieil Homme et la Mer,Editions Gallimard,2018,978-2072762093
035184062854281,978-2742744824,2020-02-18,Les Fils de la Médina,Arles [France] : Actes sud,2003,978-2742744824
