titre,isbn
Les Aventures de Huckleberry Finn,978-2081509511
Fondation et Empire,978-2207249123
Akira,978-2723428262
Les Robots,978-2745989857
Astérix chez les Pictes,978-2864972662
Les Monades urbaines,978-2221197691
Les Voyages de Gulliver,978-2335008586
Lolita,978-0141391601
La Nuit des temps,978-2258116429
Ravage,978-2072534911
Les Lauriers de César,978-2012101500
Niourk,979-1025100639
Le Meilleur des mondes,978-2259221702
Fahrenheit 451,978-1439142677
La Mort d'Ivan Ilitch,978-2081364509
Croisière sans escale,978-2207500293
Le Vieil Homme et la Mer,978-2072762093
Mrs Dalloway,978-2081358881
L'Idiot,978-1911572909
Les Grandes Espérances,978-2322185801
Astérix et Cléopâtre,978-2012100060
Madame Bovary,978-2759902293
Les Frères Karamazov,978-2371131118
Moby Dick,978-8190732673
Demain les chiens,978-2290112168
Le Tour de Gaule d'Astérix,978-2012101685
Don Quichotte,978-2371130418
Le Château de Lord Valentin,978-2221216361
Le Père Goriot,978-2806231697
Le Procès,978-2081351981
L'Homme qui rétrécit,978-2072457340
Chroniques martiennes,978-2072455162
Le Roi Lear,978-2330052768
Le Cadeau de César,978-2012101531
La Planète des singes,978-2260019183
Orgueil et Préjugés,978-2215130475
Une maison de poupée,978-2330068349
La Grande Traversée,979-1023500448
L'Étranger,978-2072376429
L'Île des morts,978-2846825573
Par-delà le mur du sommeil,978-2824904269
Le Papyrus de César,978-2864972716
La Main de Zeï,978-2820511034
Beloved,978-2267028133
La Conscience de Zeno,978-2824902371
Delirium Circus,978-2820508935
Médée,978-2218972324
Nostromo,978-0199555918
Au carrefour des étoiles,978-2277118473
Le Vagabond,978-2346014453
Les Buddenbrook,978-2253063193
Les Métamorphoses,978-2253158677
Jack Barron et l'Éternité,978-2290105504
Hacker's Delight,978-0201914658
Astérix et les Normands,978-2012101418
Le Temps incertain,978-2221119709
Astérix en Corse,978-2012101524
Les Fils de la Médina,978-2742744824
Le Grand secret,978-2258116405
Le Devin,978-2012101517
Le Noir Dessein,978-2253062820
Astérix légionnaire,978-2012101784
Romancero gitano,978-8832957402
The Practice of Programming,978-0201615869
Crime et Châtiment,979-1021900486
L'Homme sans qualités,978-2757803691
Les Plus qu'humains,000-0000000162
La Main gauche de la nuit,978-2221128121
Astérix et la Transitalique,978-2864973270
L'Odyssée d'Astérix,978-2864972051
Les Singes du temps,978-2221119693
Les Contes de Canterbury,978-2070406340
Sécheresse,978-2371270060
The Art of Computer Programming,978-0321635747
L'Aveuglement,978-2020403436
Le Berceau du chat,978-2757820919
Anna Karénine,978-2371240087
La Montagne magique,978-2213703848
Le Domaine des dieux,978-0785909903
Cent ans de solitude,978-2020238113
Gargantua et Pantagruel,978-2013230827
Contes,978-2290117965
Guerre et Paix,978-2352879183
Énéide,978-2251013039
Middlemarch,978-1853262371
Œdipe roi,978-2290080207
L'Amour aux temps du choléra,978-2246819554
Astérix chez les Bretons,978-2012100084
Le Château,978-2757827413
Le Voyageur imprudent,978-2072535031
Je suis une légende,978-2072457388
Le Maître du Haut Château,978-2290157268
Les Âmes mortes,978-2371240001
Le Tambour,978-2020314305
Polymath,978-1921746864
Seigneur de lumière,978-2072487958
Ulysse,978-2092532195
Ubik,978-0547728247
Algorithms,978-0132762564
Fifi Brindacier,978-2011179043
La Naissance des dieux,978-2331035531
Hamlet,978-2806240187
Les Enfants de minuit,978-2070402632
Dune,978-1101658055
La Couleur tombée du ciel,978-2814510012
L'Éducation sentimentale,978-2402282697
Obélix et Compagnie,978-2012101555
Le Journal d'un fou,978-2824709420
Les Hauts de Hurlevent,978-2253174561
À la recherche du temps perdu,978-1153611725
La storia,978-2070315017
L'Homme total,978-2130592150
