RC,UFI,UNI,LAT,LONG,DMS_LAT,DMS_LONG,UTM,JOG,FC,DSG,PC,CC1,ADM1,ADM2,DIM,CC2,NT,LC,SHORT_FORM,GENERIC,SORT_NAME,FULL_NAME,FULL_NAME_ND,MODIFY_DATE
3,337857,419756,-12.9347222,45.1361111,-125605,450810,NL17,SD38-02,H,STM,,MF,0,,,,N,,,Mroni,ABADIRI MRONI,Mroni Abadiri,Mroni Abadiri,1997-12-23
3,335422,416907,-12.7225,45.0563889,-124321,450323,NL09,SD38-02,P,PPL,,MF,0,,,,V,,,,ACCUA,Accua,Accua,1997-12-23
3,335965,417567,-12.7280556,45.1925,-124341,451133,NL29,SD38-02,T,BCH,,MF,0,,,,V,,,,ACHIMATSO MTSANGA,Mtsanga Achimatso,Mtsanga Achimatso,1997-12-23
3,335422,416906,-12.7225,45.0563889,-124321,450323,NL09,SD38-02,P,PPL,,MF,0,,,,N,,,,ACOUA,Acoua,Acoua,1997-12-23
3,335423,416908,-12.7280556,45.0433333,-124341,450236,NL09,SD38-02,H,BAY,,MF,0,,,,N,,,Baie,ACOUA BAIED,Baie d' Acoua,Baie d' Acoua,1997-12-23
3,335329,416785,-12.6741667,45.1019444,-124027,450607,NL19,SD38-02,T,PT,,MF,0,,,,N,,,Rassi,AMAGOUIZI RASSI,Rassi Amagouizi,Rassi Amagouizi,1997-12-23
3,335431,416917,-12.7508333,45.0758333,-124503,450433,NL09,SD38-02,H,STM,,MF,0,,,,N,,,Mroni,ANALAMIHENI MRONI,Mroni Analamiheni,Mroni Analamiheni,1997-12-23
3,335453,416947,-12.7575,45.0744444,-124527,450428,NL08,SD38-02,T,HLL,,MF,0,,,,N,,,,ANALAVATO,Analavato,Analavato,1997-12-23
3,335463,416958,-12.7666667,45.0947222,-124600,450541,NL18,SD38-02,T,HDLD,,MF,0,,,,N,,,Tsiraka,ANDANFISSAKA TSIRAKA,Tsiraka Andanfissaka,Tsiraka Andanfissaka,1997-12-23
3,337816,419711,-12.9644444,45.1208333,-125752,450715,NL16,SD38-02,L,LCTY,,MF,0,,,,N,,,,ANDEMBE,Andembé,Andembe,1997-12-23
3,337154,418993,-12.8716667,45.1519444,-125218,450907,NL17,SD38-02,T,PASS,,MF,0,,,,N,,,,ANDILABE,Andilabé,Andilabe,1997-12-23
3,335464,416959,-12.7563889,45.0888889,-124523,450520,NL08,SD38-02,T,HLL,,MF,0,,,,N,,,,ANDIMAKA,Andimaka,Andimaka,1997-12-23
3,335320,416775,-12.6786111,45.0977778,-124043,450552,NL19,SD38-02,P,PPL,,MF,0,,,,V,,,,ANDREMA,Andréma,Andrema,1997-12-23
3,335319,416776,-12.665,45.0955556,-123954,450544,NL19,SD38-02,H,BAY,,MF,0,,,,V,,,,ANDREMA BAIE,Baie Andréma,Baie Andrema,1997-12-23
3,335330,416787,-12.6725,45.1122222,-124021,450644,NL19,SD38-02,T,ISL,,MF,0,,,,V,,,,ANDREMA ILE,Île Andréma,Ile Andrema,1997-12-23
3,335468,416965,-12.7613889,45.085,-124541,450506,NL08,SD38-02,H,STM,,MF,0,,,,N,,,Mroni,ANDRIANEBE MRONI,Mroni Andrianebe,Mroni Andrianebe,1997-12-23
3,337815,419710,-12.9786111,45.1225,-125843,450721,NL16,SD38-02,H,STM,,MF,0,,,,N,,,Mroni,ANIANANO MRONI,Mroni Anianano,Mroni Anianano,1997-12-23
3,335525,417029,-12.7488889,45.0891667,-124456,450521,NL09,SD38-02,R,RDB,,MF,0,,,,N,,,,ANKETABE,Anketabé,Anketabe,1997-12-23
1,334957,416363,-12.6455556,45.0244444,-123844,450128,NM00,SD38-02,T,BCH,,MF,0,,,,N,,,Mtsanga,ANTAKOUDJA MTSANGA,Mtsanga Antakoudja,Mtsanga Antakoudja,1997-12-23
1,335289,416742,-12.6691667,45.0886111,-124009,450519,NL09,SD38-02,H,COVE,,MF,0,,,,N,,,Maji,ANYOUNYI MAJI,Maji Anyounyi,Maji Anyounyi,1997-12-23
1,337077,418900,-12.8305556,45.1302778,-124950,450749,NL18,SD38-02,P,PPL,,MF,0,,,,N,,,,APANDZO,Apandzo,Apandzo,1997-12-23
3,335425,416910,-12.7369444,45.0402778,-124413,450225,NL09,SD38-02,T,BCH,,MF,0,,,,N,,,Mtsanga,APONDRA MTSANGA,Mtsanga Apondra,Mtsanga Apondra,1997-12-23
3,335432,416918,-12.7413889,45.0419444,-124429,450231,NL09,SD38-02,T,HDLD,,MF,0,,,,N,,,Tsiraka,APONDRA TSIRAKA,Tsiraka Apondra,Tsiraka Apondra,1997-12-23
3,335426,416912,-12.7130556,45.0452778,-124247,450243,NL09,SD38-02,T,BCH,,MF,0,,,,N,,,Mtsanga,BAMANA MTSANGA,Mtsanga Bamana,Mtsanga Bamana,1997-12-23
3,337588,419447,-12.9238889,45.1852778,-125526,451107,NL27,SD38-02,H,COVE,,MF,0,,,,N,,,Anse,BAMBO ANSE,Anse Bambo,Anse Bambo,1997-12-23
3,337590,419449,-12.9397222,45.1763889,-125623,451035,NL16,SD38-02,T,PT,,MF,0,,,,N,,,Rassi,BAMBO RASSI,Rassi Bambo,Rassi Bambo,1997-12-23
3,337059,418879,-12.9444444,45.2177778,-125640,451304,NL26,SD38-02,H,RF,,MF,0,,,,N,,,Récif,BAMBO RECIF,Récif Bambo,Recif Bambo,1997-12-23
3,337589,419448,-12.9261111,45.1738889,-125534,451026,NL17,SD38-02,P,PPL,,MF,0,,,,N,,,,BAMBOEST,Bambo Est,Bambo Est,1997-12-23
3,337879,419780,-12.9219444,45.0872222,-125519,450514,NL07,SD38-02,P,PPL,,MF,0,,,,N,,,,BAMBOOUEST,Bambo Ouest,Bambo Ouest,1997-12-23
3,335339,416804,-12.7,45.1280556,-124200,450741,NL19,SD38-02,T,PT,,MF,0,,,,V,,,,BANDABOI POINTE,Pointe Bandaboi,Pointe Bandaboi,1997-12-23
