acteur1_facebook_likes,pays,num_critique,realisateur_facebook_likes,acteur3_facebook_likes,duree,acteur2,acteur2_facebook_likes,gross,realisateur,color,acteur3,titre,annee,genres,acteur1,budget,mots_cles,film_facebook_likes,lien,num_user_for_reviews,langue
1000,USA,723,0,855,178,Joel David Moore,936,760505847,James Cameron,Color,Wes Studi,Avatar ,2009,Action|Adventure|Fantasy|Sci-Fi,CCH Pounder,237000000,avatar|future|marine|native|paraplegic,33000,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,3054,English
40000,USA,302,563,1000,169,Orlando Bloom,5000,309404152,Gore Verbinski,Color,Jack Davenport,Pirates of the Caribbean: At World's End ,2007,Action|Adventure|Fantasy,Johnny Depp,300000000,goddess|marriage ceremony|marriage proposal|pirate|singapore,0,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,1238,English
11000,UK,602,0,161,148,Rory Kinnear,393,200074175,Sam Mendes,Color,Stephanie Sigman,Spectre ,2015,Action|Adventure|Thriller,Christoph Waltz,245000000,bomb|espionage|sequel|spy|terrorist,85000,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,994,English
27000,USA,813,22000,23000,164,Christian Bale,23000,448130642,Christopher Nolan,Color,Joseph Gordon-Levitt,The Dark Knight Rises ,2012,Action|Thriller,Tom Hardy,250000000,deception|imprisonment|lawlessness|police officer|terrorist plot,164000,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,2701,English
640,USA,462,475,530,132,Samantha Morton,631,73058679,Andrew Stanton,Color,Polly Walker,John Carter ,2012,Action|Adventure|Sci-Fi,Daryl Sabara,263700000,alien|american civil war|male nipple|mars|princess,24000,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,738,English
24000,USA,392,0,4000,156,James Franco,11000,336530303,Sam Raimi,Color,Kirsten Dunst,Spider-Man 3 ,2007,Action|Adventure|Romance,J.K. Simmons,258000000,sandman|spider man|symbiote|venom|villain,0,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902,English
799,USA,324,15,284,100,Donna Murphy,553,200807262,Nathan Greno,Color,M.C. Gainey,Tangled ,2010,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Brad Garrett,260000000,17th century|based on fairy tale|disney|flower|tower,29000,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,387,English
26000,USA,635,0,19000,141,Robert Downey Jr.,21000,458991599,Joss Whedon,Color,Scarlett Johansson,Avengers: Age of Ultron ,2015,Action|Adventure|Sci-Fi,Chris Hemsworth,250000000,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,118000,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,1117,English
25000,UK,375,282,10000,153,Daniel Radcliffe,11000,301956980,David Yates,Color,Rupert Grint,Harry Potter and the Half-Blood Prince ,2009,Adventure|Family|Fantasy|Mystery,Alan Rickman,250000000,blood|book|love|potion|professor,10000,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,973,English
15000,USA,673,0,2000,183,Lauren Cohan,4000,330249062,Zack Snyder,Color,Alan D. Purwin,Batman v Superman: Dawn of Justice ,2016,Action|Adventure|Sci-Fi,Henry Cavill,250000000,based on comic book|batman|sequel to a reboot|superhero|superman,197000,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,3018,English
18000,USA,434,0,902,169,Marlon Brando,10000,200069408,Bryan Singer,Color,Frank Langella,Superman Returns ,2006,Action|Adventure|Sci-Fi,Kevin Spacey,209000000,crystal|epic|lex luthor|lois lane|return to earth,0,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,2367,English
451,UK,403,395,393,106,Mathieu Amalric,412,168368427,Marc Forster,Color,Rory Kinnear,Quantum of Solace ,2008,Action|Adventure,Giancarlo Giannini,200000000,action hero|attempted rape|bond girl|official james bond series|revenge,0,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,1243,English
40000,USA,313,563,1000,151,Orlando Bloom,5000,423032628,Gore Verbinski,Color,Jack Davenport,Pirates of the Caribbean: Dead Man's Chest ,2006,Action|Adventure|Fantasy,Johnny Depp,225000000,box office hit|giant squid|heart|liar's dice|monster,5000,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,1832,English
40000,USA,450,563,1000,150,Ruth Wilson,2000,89289910,Gore Verbinski,Color,Tom Wilkinson,The Lone Ranger ,2013,Action|Adventure|Western,Johnny Depp,215000000,horse|outlaw|texas|texas ranger|train,48000,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,711,English
15000,USA,733,0,748,143,Christopher Meloni,3000,291021565,Zack Snyder,Color,Harry Lennix,Man of Steel ,2013,Action|Adventure|Fantasy|Sci-Fi,Henry Cavill,225000000,based on comic book|british actor playing american character|final battle|origin of hero|reboot,118000,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2536,English
22000,USA,258,80,201,150,Pierfrancesco Favino,216,141614023,Andrew Adamson,Color,Damián Alcázar,The Chronicles of Narnia: Prince Caspian ,2008,Action|Adventure|Family|Fantasy,Peter Dinklage,225000000,brother brother relationship|brother sister relationship|good versus evil|king|narnia,0,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,438,English
26000,USA,703,0,19000,173,Robert Downey Jr.,21000,623279547,Joss Whedon,Color,Scarlett Johansson,The Avengers ,2012,Action|Adventure|Sci-Fi,Chris Hemsworth,220000000,alien invasion|assassin|battle|iron man|soldier,123000,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722,English
40000,USA,448,252,1000,136,Sam Claflin,11000,241063875,Rob Marshall,Color,Stephen Graham,Pirates of the Caribbean: On Stranger Tides ,2011,Action|Adventure|Fantasy,Johnny Depp,250000000,blackbeard|captain|pirate|revenge|soldier,58000,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484,English
10000,USA,451,188,718,106,Michael Stuhlbarg,816,179020854,Barry Sonnenfeld,Color,Nicole Scherzinger,Men in Black 3 ,2012,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Will Smith,225000000,alien|criminal|m.i.b.|maximum security prison|prison,40000,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,341,English
5000,New Zealand,422,0,773,164,Adam Brown,972,255108370,Peter Jackson,Color,James Nesbitt,The Hobbit: The Battle of the Five Armies ,2014,Adventure|Fantasy,Aidan Turner,250000000,army|elf|hobbit|middle earth|orc,65000,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,802,English
15000,USA,599,464,963,153,Andrew Garfield,10000,262030663,Marc Webb,Color,Chris Zylka,The Amazing Spider-Man ,2012,Action|Adventure|Fantasy,Emma Stone,230000000,lizard|outcast|spider|spider man|teenager,56000,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225,English
